Data,Mandante,Placar_Bruto,Visitante,Fase
2020-08-08,Fortaleza,0-2,Athletico Paranaense,R1
2020-08-08,Coritiba,0-1,Internacional,R1
2020-08-08,Sport,3-2,Ceará,R1
2020-08-09,Flamengo,0-1,Atlético Mineiro,R1
2020-08-09,Santos,1-1,Red Bull Bragantino,R1
2020-08-09,Grêmio,1-0,Fluminense,R1
2020-08-12,Red Bull Bragantino,1-1,Botafogo,R2
2020-08-12,Atlético Mineiro,3-2,Corinthians,R2
2020-08-12,Athletico Paranaense,2-1,Goiás,R2
2020-08-12,Bahia,1-0,Coritiba,R2
2020-08-12,Atlético Goianiense,3-0,Flamengo,R2
2020-08-12,Fluminense,1-1,Palmeiras,R2
2020-08-12,Ceará,1-1,Grêmio,R2
2020-08-13,São Paulo,1-0,Fortaleza,R2
2020-08-13,Internacional,2-0,Santos,R2
2020-08-13,Vasco,2-0,Sport,R2
2020-08-15,Grêmio,0-0,Corinthians,R3
2020-08-15,Coritiba,0-1,Flamengo,R3
2020-08-15,Palmeiras,1-1,Goiás,R3
2020-08-16,Atlético Mineiro,2-0,Ceará,R3
2020-08-16,Vasco,2-1,São Paulo,R3
2020-08-16,Bahia,2-1,Red Bull Bragantino,R3
2020-08-16,Fluminense,2-1,Internacional,R3
2020-08-16,Atlético Goianiense,1-1,Sport,R3
2020-08-16,Fortaleza,0-0,Botafogo,R3
2020-08-16,Santos,3-1,Athletico Paranaense,R3
2020-08-19,Flamengo,1-1,Grêmio,R4
2020-08-19,Red Bull Bragantino,2-1,Fluminense,R4
2020-08-19,Athletico Paranaense,0-1,Palmeiras,R4
2020-08-19,Internacional,3-0,Atlético Goianiense,R4
2020-08-19,Goiás,1-3,Fortaleza,R4
2020-08-19,Botafogo,2-1,Atlético Mineiro,R4
2020-08-19,Corinthians,3-1,Coritiba,R4
2020-08-20,Sport,0-1,Santos,R4
2020-08-20,São Paulo,1-1,Bahia,R4
2020-08-20,Ceará,0-3,Vasco,R4
2020-08-22,Athletico Paranaense,0-1,Fluminense,R5
2020-08-22,Internacional,1-0,Atlético Mineiro,R5
2020-08-22,Goiás,2-0,Atlético Goianiense,R5
2020-08-23,Flamengo,1-1,Botafogo,R5
2020-08-23,Vasco,0-0,Grêmio,R5
2020-08-23,Palmeiras,2-1,Santos,R5
2020-08-23,Red Bull Bragantino,1-2,Coritiba,R5
2020-08-23,Sport,0-1,São Paulo,R5
2020-08-23,Ceará,2-0,Bahia,R5
2020-08-26,São Paulo,1-0,Athletico Paranaense,R11
2020-08-26,Corinthians,1-1,Fortaleza,R5
2020-08-29,Botafogo,0-2,Internacional,R6
2020-08-29,Fluminense,2-1,Vasco,R6
2020-08-29,Bahia,1-1,Palmeiras,R6
2020-08-29,Fortaleza,3-0,Red Bull Bragantino,R6
2020-08-30,São Paulo,2-1,Corinthians,R6
2020-08-30,Santos,0-1,Flamengo,R6
2020-08-30,Coritiba,1-0,Sport,R6
2020-08-30,Atlético Goianiense,0-2,Ceará,R6
2020-09-02,Ceará,1-0,Fortaleza,R7
2020-09-02,Fluminense,1-1,Atlético Goianiense,R7
2020-09-02,Goiás,1-2,Corinthians,R7
2020-09-02,Botafogo,0-0,Coritiba,R7
2020-09-02,Bahia,3-5,Flamengo,R7
2020-09-02,Athletico Paranaense,1-1,Red Bull Bragantino,R7
2020-09-02,Palmeiras,1-1,Internacional,R7
2020-09-02,Santos,2-2,Vasco,R7
2020-09-03,Grêmio,1-2,Sport,R7
