id_partida,ano_campeonato,Data,Mandante,Visitante,estado_mandante,estado_visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase,tipo_fase,is_mata_mata,is_classico_estadual,total_gols,saldo_gols_mandante,saldo_gols_visitante,pontos_mandante,pontos_visitante
1,1971,1971-08-07,Santa Cruz,Corinthians,PE,SP,1.0,4.0,D,V,NORMAL,1R,Pontos Corridos,False,False,5,-3,3,0,2
2,1971,1971-08-07,Internacional,Fluminense,RS,RJ,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
3,1971,1971-08-07,Palmeiras,Portuguesa,SP,SP,1.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,True,1,1,-1,2,0
4,1971,1971-08-07,Ceará,Vasco,CE,RJ,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
5,1971,1971-08-07,Coritiba,Cruzeiro,PR,MG,0.0,2.0,D,V,NORMAL,1R,Pontos Corridos,False,False,2,-2,2,0,2
6,1971,1971-08-07,São Paulo,Grêmio,SP,RS,0.0,3.0,D,V,NORMAL,1R,Pontos Corridos,False,False,3,-3,3,0,2
7,1971,1971-08-07,Sport,Flamengo,PE,RJ,1.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,1,1,-1,2,0
8,1971,1971-08-07,Bahia,Santos,BA,SP,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
9,1971,1971-08-07,Atlético Mineiro,América Mineiro,MG,MG,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,True,2,0,0,1,1
10,1971,1971-08-07,Botafogo,America-RJ,RJ,RJ,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,True,0,0,0,1,1
11,1971,1971-08-11,Ceará,Corinthians,CE,SP,0.0,1.0,D,V,NORMAL,1R,Pontos Corridos,False,False,1,-1,1,0,2
12,1971,1971-08-11,Cruzeiro,Portuguesa,MG,SP,2.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,1,-1,2,0
13,1971,1971-08-11,Bahia,Flamengo,BA,RJ,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,False,2,0,0,1,1
14,1971,1971-08-11,America-RJ,Grêmio,RJ,RS,0.0,2.0,D,V,NORMAL,1R,Pontos Corridos,False,False,2,-2,2,0,2
15,1971,1971-08-11,Sport,Santos,PE,SP,0.0,2.0,D,V,NORMAL,1R,Pontos Corridos,False,False,2,-2,2,0,2
16,1971,1971-08-12,Santa Cruz,Vasco,PE,RJ,1.0,0.0,V,D,NORMAL,1R,Pontos Corridos,False,False,1,1,-1,2,0
17,1971,1971-08-14,Santos,São Paulo,SP,SP,3.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,True,4,2,-2,2,0
18,1971,1971-08-14,Flamengo,Botafogo,RJ,RJ,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,True,2,0,0,1,1
19,1971,1971-08-14,América Mineiro,America-RJ,MG,RJ,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,False,2,0,0,1,1
20,1971,1971-08-14,Grêmio,Atlético Mineiro,RS,MG,1.0,1.0,E,E,NORMAL,1R,Pontos Corridos,False,False,2,0,0,1,1
21,1971,1971-08-15,Coritiba,Portuguesa,PR,SP,2.0,1.0,V,D,NORMAL,1R,Pontos Corridos,False,False,3,1,-1,2,0
22,1971,1971-08-15,Corinthians,Palmeiras,SP,SP,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,True,0,0,0,1,1
23,1971,1971-08-15,Fluminense,Vasco,RJ,RJ,0.0,1.0,D,V,NORMAL,1R,Pontos Corridos,False,True,1,-1,1,0,2
24,1971,1971-08-15,Ceará,Santa Cruz,CE,PE,0.0,0.0,E,E,NORMAL,1R,Pontos Corridos,False,False,0,0,0,1,1
