ano_campeonato,Data,Mandante,Visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase
1994,1994-08-13,Criciúma,Corinthians,1,1,E,E,NORMAL,A
1994,1994-08-13,Sport,Flamengo,1,1,E,E,NORMAL,A
1994,1994-08-14,Red Bull Bragantino,Grêmio,0,0,E,E,NORMAL,A
1994,1994-08-14,Paysandu,São Paulo,0,0,E,E,NORMAL,B
1994,1994-08-14,Botafogo,Vitória,1,1,E,E,NORMAL,B
1994,1994-08-14,Atlético Mineiro,Portuguesa,0,0,E,E,NORMAL,B
1994,1994-08-14,Bahia,Vasco,0,0,E,E,NORMAL,C
1994,1994-08-14,Santos,Remo,1,0,V,D,NORMAL,C
1994,1994-08-14,Guarani,Cruzeiro,2,0,V,D,NORMAL,C
1994,1994-08-14,Palmeiras,Paraná,4,1,V,D,NORMAL,D
1994,1994-08-14,Fluminense,Náutico,3,1,V,D,NORMAL,D
1994,1994-08-14,Internacional,União São João,2,0,V,D,NORMAL,D
1994,1994-08-17,Flamengo,Red Bull Bragantino,2,1,V,D,NORMAL,A
1994,1994-08-17,Grêmio,Criciúma,2,1,V,D,NORMAL,A
1994,1994-08-17,Corinthians,Sport,1,1,E,E,NORMAL,A
1994,1994-08-17,Portuguesa,Botafogo,0,0,E,E,NORMAL,B
1994,1994-08-17,Vasco,Guarani,3,1,V,D,NORMAL,C
1994,1994-08-17,Cruzeiro,Santos,0,0,E,E,NORMAL,C
1994,1994-08-17,Remo,Bahia,1,1,E,E,NORMAL,C
1994,1994-08-17,União São João,Fluminense,1,0,V,D,NORMAL,D
1994,1994-08-17,Náutico,Palmeiras,1,3,D,V,NORMAL,D
1994,1994-08-17,Paraná,Internacional,1,1,E,E,NORMAL,D
1994,1994-08-18,São Paulo,Atlético Mineiro,1,0,V,D,NORMAL,B
1994,1994-08-18,Vitória,Paysandu,0,1,D,V,NORMAL,B
1994,1994-08-20,Botafogo,São Paulo,4,0,V,D,NORMAL,B
1994,1994-08-20,Santos,Vasco,2,0,V,D,NORMAL,C
1994,1994-08-21,Corinthians,Grêmio,2,2,E,E,NORMAL,A
1994,1994-08-21,Criciúma,Flamengo,1,1,E,E,NORMAL,A
1994,1994-08-21,Red Bull Bragantino,Sport,0,1,D,V,NORMAL,A
1994,1994-08-21,Atlético Mineiro,Paysandu,1,3,D,V,NORMAL,B
1994,1994-08-21,Portuguesa,Vitória,1,0,V,D,NORMAL,B
1994,1994-08-21,Bahia,Guarani,0,2,D,V,NORMAL,C
1994,1994-08-21,Remo,Cruzeiro,2,1,V,D,NORMAL,C
1994,1994-08-21,Internacional,Palmeiras,0,2,D,V,NORMAL,D
1994,1994-08-21,Fluminense,Paraná,2,1,V,D,NORMAL,D
1994,1994-08-21,Náutico,União São João,0,1,D,V,NORMAL,D
1994,1994-08-24,Grêmio,Flamengo,2,0,V,D,NORMAL,A
1994,1994-08-24,Red Bull Bragantino,Corinthians,0,1,D,V,NORMAL,A
1994,1994-08-24,Sport,Criciúma,1,1,E,E,NORMAL,A
1994,1994-08-24,Paysandu,Portuguesa,0,0,E,E,NORMAL,B
1994,1994-08-24,Botafogo,Atlético Mineiro,2,1,V,D,NORMAL,B
1994,1994-08-24,Cruzeiro,Vasco,1,1,E,E,NORMAL,C
1994,1994-08-24,Guarani,Remo,1,0,V,D,NORMAL,C
1994,1994-08-24,Santos,Bahia,3,0,V,D,NORMAL,C
1994,1994-08-24,Fluminense,Internacional,2,1,V,D,NORMAL,D
1994,1994-08-24,Palmeiras,União São João,5,1,V,D,NORMAL,D
1994,1994-08-25,Paraná,Náutico,1,1,E,E,NORMAL,D
1994,1994-08-27,Guarani,Santos,4,0,V,D,NORMAL,C
1994,1994-08-27,Palmeiras,Fluminense,1,0,V,D,NORMAL,D
1994,1994-08-28,Criciúma,Red Bull Bragantino,1,1,E,E,NORMAL,A
1994,1994-08-28,Sport,Grêmio,0,1,D,V,NORMAL,A
1994,1994-08-28,Flamengo,Corinthians,5,2,V,D,NORMAL,A
1994,1994-08-28,Paysandu,Botafogo,2,0,V,D,NORMAL,B
1994,1994-08-28,São Paulo,Portuguesa,2,0,V,D,NORMAL,B
1994,1994-08-28,Atlético Mineiro,Vitória,3,1,V,D,NORMAL,B
1994,1994-08-28,Vasco,Remo,3,0,V,D,NORMAL,C
1994,1994-08-28,Bahia,Cruzeiro,2,1,V,D,NORMAL,C
1994,1994-08-28,União São João,Paraná,1,2,D,V,NORMAL,D
1994,1994-08-28,Internacional,Náutico,5,0,V,D,NORMAL,D
1994,1994-08-31,Corinthians,Red Bull Bragantino,6,1,V,D,NORMAL,A
1994,1994-08-31,Flamengo,Grêmio,2,2,E,E,NORMAL,A
1994,1994-08-31,Atlético Mineiro,Botafogo,0,2,D,V,NORMAL,B
1994,1994-08-31,Vasco,Cruzeiro,1,0,V,D,NORMAL,C
1994,1994-08-31,Bahia,Santos,2,1,V,D,NORMAL,C
1994,1994-08-31,Remo,Guarani,0,2,D,V,NORMAL,C
1994,1994-08-31,Internacional,Fluminense,3,0,V,D,NORMAL,D
1994,1994-09-01,Criciúma,Sport,5,0,V,D,NORMAL,A
1994,1994-09-01,São Paulo,Vitória,2,2,E,E,NORMAL,B
1994,1994-09-01,Portuguesa,Paysandu,3,1,V,D,NORMAL,B
1994,1994-09-01,Náutico,Paraná,0,0,E,E,NORMAL,D
1994,1994-09-03,Corinthians,Flamengo,1,0,V,D,NORMAL,A
1994,1994-09-03,Fluminense,Palmeiras,1,1,E,E,NORMAL,D
1994,1994-09-04,Grêmio,Sport,1,1,E,E,NORMAL,A
1994,1994-09-04,Botafogo,Paysandu,5,2,V,D,NORMAL,B
1994,1994-09-04,Vitória,Atlético Mineiro,1,1,E,E,NORMAL,B
1994,1994-09-04,Portuguesa,São Paulo,0,0,E,E,NORMAL,B
1994,1994-09-04,Cruzeiro,Bahia,2,1,V,D,NORMAL,C
1994,1994-09-04,Santos,Guarani,1,0,V,D,NORMAL,C
1994,1994-09-04,Remo,Vasco,0,1,D,V,NORMAL,C
1994,1994-09-04,Paraná,União São João,2,1,V,D,NORMAL,D
1994,1994-09-07,Vitória,São Paulo,1,1,E,E,NORMAL,B
1994,1994-09-07,União São João,Palmeiras,0,1,D,V,NORMAL,D
1994,1994-09-07,Red Bull Bragantino,Criciúma,1,0,V,D,NORMAL,A
1994,1994-09-07,Náutico,Internacional,1,1,E,E,NORMAL,D
1994,1994-09-07,Paysandu,Atlético Mineiro,0,2,D,V,NORMAL,B
1994,1994-09-07,Guarani,Bahia,1,1,E,E,NORMAL,C
1994,1994-09-10,Grêmio,Corinthians,0,1,D,V,NORMAL,A
1994,1994-09-10,São Paulo,Botafogo,4,1,V,D,NORMAL,B
1994,1994-09-11,Flamengo,Criciúma,1,1,E,E,NORMAL,A
1994,1994-09-11,Sport,Red Bull Bragantino,4,3,V,D,NORMAL,A
1994,1994-09-11,Vitória,Portuguesa,0,0,E,E,NORMAL,B
1994,1994-09-11,Vasco,Santos,0,0,E,E,NORMAL,C
1994,1994-09-11,Cruzeiro,Remo,0,1,D,V,NORMAL,C
1994,1994-09-11,Palmeiras,Internacional,1,0,V,D,NORMAL,D
1994,1994-09-11,Paraná,Fluminense,2,3,D,V,NORMAL,D
1994,1994-09-14,Bahia,Remo,1,0,V,D,NORMAL,C
1994,1994-09-15,União São João,Náutico,0,0,E,E,NORMAL,D
1994,1994-09-17,Atlético Mineiro,São Paulo,0,0,E,E,NORMAL,B
1994,1994-09-17,Guarani,Vasco,2,1,V,D,NORMAL,C
1994,1994-09-18,Sport,Corinthians,2,0,V,D,NORMAL,A
1994,1994-09-18,Red Bull Bragantino,Flamengo,0,1,D,V,NORMAL,A
1994,1994-09-18,Criciúma,Grêmio,1,0,V,D,NORMAL,A
1994,1994-09-18,Botafogo,Portuguesa,1,0,V,D,NORMAL,B
1994,1994-09-18,Paysandu,Vitória,3,1,V,D,NORMAL,B
